a179-sanae/dsh-code-check	0	2026-08-13
alingalingling/ui-status-label	16	2026-08-11
Andy8647/dsh-auto-approval	1	2026-08-08
Anionex/dsh-computer-use	5	2026-08-13
Anionex/dsh-turn-rewind	15	2026-08-13
Anionex/dsh-vision-toolkit	80	2026-08-13
ArtificialNotImbecile/dsh-context-taxonomy	0	2026-08-13
bill9109/dsh-conversation-share	0	2026-08-12
blissito/ghostycode	7	2026-06-08
bobleer/dsh-acp-for-bitfun	8	2026-08-13
bruc3van/dsh-desktop	NA	NA
btspoony/dsh-advisor	0	2026-08-07
btspoony/dsh-llm-fallbacks	0	2026-08-07
btspoony/mstar-harness	37	2026-03-06
Buyi-wsgzg/dsh-sidechain	0	2026-08-07
CanglongCl/dsh-web-review	4	2026-08-12
ccch1mneyyy/dsh-cc-tui	64	2026-08-13
ccch1mneyyy/dsh-working-activity	0	2026-08-13
ccq1/dsh-side-panel	3	2026-08-07
chen-001/dsh-chat-width	1	2026-08-13
chen-001/dsh-grok-tui	5	2026-08-12
Chinesezjc/dsh-interconnect	7	2026-08-13
coppynight/dsh-doctor	2	2026-08-13
csyangwen/dsh-memory-evolve	1	2026-08-05
dbydd/dsh-onlyne	0	2026-08-13
deepseek-ai/awesome-deepseek-agent	5371	2026-04-27
deepseek-ai/awesome-deepseek-integration	38640	2024-01-11
didclawapp-ai/zagens	12	2026-06-07
dingyi222666/dsh-session-notification	0	2026-08-12
Drifter-yh/dsh-tool-policy	0	2026-08-13
emredeveloper/deepseek-harness-huggingface	1	2026-08-13
fakechris/dsh-harness-ops	1	2026-08-11
fakechris/dsh-track	1	2026-08-09
Fisfzy/ego-browser	1	2026-08-07
FlashingChen/dsh-worktree	0	2026-08-13
fuhefei/dsh-sentinel	2	2026-08-13
hellodigua/dsh-emoji	2	2026-08-12
hellodigua/dsh-share	6	2026-08-12
hewzhew/dsh-agent-rp	45	2026-08-13
huiliyi37/dsh-tianshu-tui	46	2026-08-13
hust-open-atom-club/oh-dsh-desktop	32	2026-08-11
hxs996-beep/deepAct	7	2026-05-31
icetomoyo/dsh_workflow	27	2026-08-12
icodesign/orbis	2	2026-08-13
ilharp/dsh-tool-approval	0	2026-08-11
LaplaceYoung/dsh-qq2006	1	2026-08-13
LaplaceYoung/oh-my-dsh	8	2026-08-13
lhh010/dsh-bash-encoding	2	2026-08-13
lhh010/dsh-input-history	2	2026-08-13
lhh010/dsh-minigames	2	2026-08-13
lhh010/dsh-paste-input	2	2026-08-13
lhh010/dsh-ui-progress	3	2026-08-13
lhh010/dsh-ui-whale	4	2026-08-13
LingLambda/dsh-undo	1	2026-08-13
